Album,Artist,Type,Notes
DAYTONA,Pusha T,Confirmed favorite,coke rap precision
It’s Almost Dry,Pusha T,Confirmed favorite,icy minimalism
Hell Hath No Fury,Clipse,Confirmed favorite,cocaine couplets
Lord Willin’,Clipse,Confirmed favorite,Virginia bounce
"good kid, m.A.A.d city",Kendrick Lamar,Confirmed favorite,narrative suite
To Pimp a Butterfly,Kendrick Lamar,Confirmed favorite,jazz rap opus
DAMN.,Kendrick Lamar,Confirmed favorite,dualities
Mr. Morale & the Big Steppers,Kendrick Lamar,Confirmed favorite,therapy cycle
Section.80,Kendrick Lamar,Confirmed favorite,TDE genesis
Tha Carter II,Lil Wayne,Confirmed favorite,punchline peak
Tha Carter III,Lil Wayne,Confirmed favorite,mainstream apex
Tha Carter V,Lil Wayne,Confirmed favorite,longevity
No Ceilings,Lil Wayne,Confirmed favorite,mixtape carnage
Dedication 2,Lil Wayne,Confirmed favorite,Gangsta Grillz
The Never Story,JID,Confirmed favorite,elastic flow
DiCaprio 2,JID,Confirmed favorite,bar craft
The Forever Story,JID,Confirmed favorite,album album
ADHD,Joyner Lucas,Confirmed favorite,concept cuts
508 507 2209,Joyner Lucas,Confirmed favorite,grit and narrative
"Not Now, I’m Busy",Joyner Lucas,Confirmed favorite,recent run
Reasonable Doubt,JAY Z,Recommended,mafioso poise
The Blueprint,JAY Z,Recommended,soul chops
The Black Album,JAY Z,Recommended,legend stance
4:44,JAY Z,Recommended,grown honesty
Illmatic,Nas,Recommended,Queensbridge classic
It Was Written,Nas,Recommended,slick narratives
Stillmatic,Nas,Recommended,rebirth
King’s Disease,Nas,Recommended,late career run
My Beautiful Dark Twisted Fantasy,Kanye West,Recommended,maximalist
Yeezus,Kanye West,Recommended,industrial edge
The College Dropout,Kanye West,Recommended,soul rap
2014 Forest Hills Drive,J. Cole,Recommended,introspective
KOD,J. Cole,Recommended,vice themes
The Off Season,J. Cole,Recommended,bar focus
Piñata,Freddie Gibbs & Madlib,Recommended,noir soul
Bandana,Freddie Gibbs & Madlib,Recommended,refined noir
Soul Sold Separately,Freddie Gibbs,Recommended,modern polish
Run The Jewels 2,Run The Jewels,Recommended,agit rap
Run The Jewels 3,Run The Jewels,Recommended,bombast
Run The Jewels 4,Run The Jewels,Recommended,uprising
Tana Talk 3,Benny The Butcher,Recommended,coke rap grit
Burden of Proof,Benny The Butcher,Recommended,Hit Boy shine
From King to a God,Conway the Machine,Recommended,gravitas
Pray for Paris,Westside Gunn,Recommended,lux grime
Reasonable Drought,Stove God Cooks,Recommended,slick talk
Marcberg,Roc Marciano,Recommended,minimal mafioso
Reloaded,Roc Marciano,Recommended,deadpan poise
The Price of Tea in China,Boldy James & The Alchemist,Recommended,cold craft
Bo Jackson,Boldy James & The Alchemist,Recommended,icy detail
Alfredo,Freddie Gibbs & The Alchemist,Recommended,lean luxe
Streams of Thought Vol. 3,Black Thought,Recommended,lyrical clinic
Cheat Codes,Danger Mouse & Black Thought,Recommended,crisp classicism
Black on Both Sides,Mos Def,Recommended,conscious core
The Low End Theory,A Tribe Called Quest,Recommended,jazz rap
Enter the Wu Tang 36 Chambers,Wu Tang Clan,Recommended,grimy genesis
Only Built 4 Cuban Linx,Raekwon,Recommended,purple tape
Supreme Clientele,Ghostface Killah,Recommended,slang art
The Infamous,Mobb Deep,Recommended,Queensbridge cold
Hell on Earth,Mobb Deep,Recommended,war report
Get Rich or Die Tryin,50 Cent,Recommended,hook brute
The Documentary,The Game,Recommended,West Coast return
The Chronic,Dr. Dre,Recommended,G funk blueprint
2001,Dr. Dre,Recommended,precision
Doggystyle,Snoop Dogg,Recommended,laissez faire cool
All Eyez on Me,2Pac,Recommended,double disc heft
Me Against the World,2Pac,Recommended,vulnerable steel
Ready to Die,The Notorious B I G,Recommended,debut titan
Life After Death,The Notorious B I G,Recommended,double opus
It Takes a Nation of Millions to Hold Us Back,Public Enemy,Recommended,bomb squad
Straight Outta Compton,N W A,Recommended,shock doctrine
The Fix,Scarface,Recommended,gravitas
The Diary,Scarface,Recommended,Texas confessional
Victory Lap,Nipsey Hussle,Recommended,marathon mindset
Dreams and Nightmares,Meek Mill,Recommended,intro legend
Oxymoron,ScHoolboy Q,Recommended,grit
Blank Face LP,ScHoolboy Q,Recommended,murk
Summertime 06,Vince Staples,Recommended,cold coast
1999,Joey Bada$$,Recommended,boom bap rebirth
All Amerikkkan Badass,Joey Bada$$,Recommended,political
Under Pressure,Logic,Recommended,debut hunger
A Written Testimony,Jay Electronica,Recommended,mystic gravitas
Food & Liquor,Lupe Fiasco,Recommended,lyrical craft
The Cool,Lupe Fiasco,Recommended,concept narrative
ATLiens,Outkast,Recommended,space ATL
Aquemini,Outkast,Recommended,duo peak
Stankonia,Outkast,Recommended,eclectic
King,T I,Recommended,trap prime
Thug Motivation 101,Young Jeezy,Recommended,snow talk
Teflon Don,Rick Ross,Recommended,opulent grit
Shoot for the Stars Aim for the Moon,Pop Smoke,Recommended,NY drill
IGOR,"Tyler, The Creator",Recommended,art rap
Call Me If You Get Lost,"Tyler, The Creator",Recommended,mixtape luxe
Some Rap Songs,Earl Sweatshirt,Recommended,avant confessional
ASTROWORLD,Travis Scott,Recommended,psyched trap
Rodeo,Travis Scott,Recommended,debut ambition
If You Are Reading This It Is Too Late,Drake,Recommended,hard turn
The Sun’s Tirade,Isaiah Rashad,Recommended,southern fog
Cilvia Demo,Isaiah Rashad,Recommended,TDE entry
4eva Is a Mighty Long Time,Big K R I T,Recommended,double vision
PRhyme,PRhyme,Recommended,premier polish
